"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TBX5",6878.70940887318,7.97376641954703,0.420656931529991,18.9555093994179,3.9768465062707e-80,3.89730957614528e-78
"LOC107529627",1766.64127245023,8.78037816212183,0.471986399149679,18.6030321592749,3.03637533085109e-77,1.48782391211703e-75
"TBX5.3",290.311142859792,9.3127901098739,0.914479577187774,10.1837048548561,2.34461059255971e-24,7.65906126902838e-23
"TBX5.1",38.5153943340151,6.07370872684411,1.06237541146019,5.71710212917678,1.0835599869501e-08,2.65472196802774e-07
"UGGT1.1",212.404381706647,3.12207901328486,0.622501996790762,5.01537188536002,5.29309849983433e-07,1.03744730596753e-05
